Particulars,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Company Symbol
Basic EPS Excl. Extra Items,47.1,51,57.1,64.9,87.7,87.5,111,133.7,149.1,154.9,LTIM
Weighted Avg. Basic Shares Out.,161.2,163.9,170.1,171.3,172.9,173.8,174.5,295.4,295.7,295.9,LTIM
Diluted EPS,45.6,49.3,55.8,63.5,86.4,86.6,110.3,133.4,148.8,154.5,LTIM
Diluted EPS Excl. Extra Items,45.1,49.3,55.8,63.5,86.4,86.6,110.3,133.4,148.8,154.5,LTIM
Weighted Avg. Diluted Shares Out.,168.5,169.6,174,175.2,175.4,175.5,175.6,296.1,296.2,296.6,LTIM
Normalized Basic EPS,35.9,39.4,45.4,54.8,73.3,72,90.6,108.2,117.5,120,LTIM
Normalized Diluted EPS,34.4,38.1,44.4,53.6,72.3,71.3,90,107.9,117.3,119.7,LTIM
Dividends per Share,29.8,32.6,16.6,21.5,28,28,40,45,60,65,LTIM
Payout Ratio %,0.6,0.7,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,LTIM
Supplemental Items,,,,,,,,,,,LTIM
EBITDA,10034.9,9350,11347,11758,18279,18692,25482,49418,57489,59736,LTIM
EBITA,9293.3,8613,10632,11052,17557,17803,24157,46988,54133,55975,LTIM
EBIT,8455.4,8509,10523,10928,17361,17563,23926,46515,53850,55685,LTIM
Revenue,633619.6,758414.2,837730.5,920939.5,1047206.8,753819.3,742777.8,901705.7,1212685.5,1226272.8,M&M
Finance Div. Revenue,,,,,,,,,,156520.2,M&M
Gain(Loss) on Sale Of Invest. (Rev),213.1,,,,,,,,,10699.1,M&M
Interest And Invest. Income (Rev),62377.1,3871.4,4228.1,4029.9,5098.7,5082.4,4612.4,4183.8,5280.1,,M&M
Other Revenue,14323.3,566.1,2422.6,994.3,4088.8,2964.9,3809.9,3556.5,4267.3,19054.8,M&M
Total Revenue,710533.1,762851.7,844381.2,925963.7,1056394.3,761866.6,751200.1,909446,1222232.9,1412546.9,M&M
Cost Of Goods Sold,431390,452770.6,498332,528354,606309.5,388713.8,388547.5,524451.3,747029.6,836147.5,M&M
Gross Profit,279143.1,310081.1,346049.2,397609.7,450084.8,373152.8,362652.6,384994.7,475203.3,576399.4,M&M
Selling General & Admin Exp.,92028.7,100881.6,113896,128314.2,146945.7,102922.2,87653,97015.6,112060.3,106243.3,M&M
Provision for Bad Debts,,,,,,,,,,,M&M
R & D Exp.,,,,,,,,,,,M&M
Depreciation & Amort.,21238.3,24416.5,28127.2,32799,39900.8,33467.5,33671.3,35026.6,43287,47237.8,M&M
Other Operating Expense/(Income),94989.3,103937.6,116830.2,132010.3,141886.5,130267.6,129811.8,133410.3,150742.7,199143.4,M&M
"Other Operating Exp., Total",208256.3,229235.7,258853.4,293123.5,328733,266657.3,251136.1,265452.5,306090,352624.5,M&M
Operating Income,70886.8,80845.4,87195.8,104486.2,121351.8,106495.5,111516.5,119542.2,169113.3,223774.9,M&M
Interest Expense,-30495.4,-32443.4,-35552.6,-38790.4,-49081,-58950.4,-59903.5,-49146,-56994.9,-74882.1,M&M
Interest and Invest. Income,,,,,,,,,,,M&M
Net Interest Exp.,-30495.4,-32443.4,-35552.6,-38790.4,-49081,-58950.4,-59903.5,-49146,-56994.9,-74882.1,M&M
Income/(Loss) from Affiliates,7887,8460.3,8994,11072.6,13665.2,10272.8,12766.6,18557.9,15054.4,10885.1,M&M
Other Non-Operating Inc. (Exp.),-21,-573.5,-316.9,87.2,424.7,131.9,790.1,570.3,1215.4,,M&M
EBT Excl. Unusual Items,48257.4,56288.8,60320.3,76855.6,86360.7,57949.8,65169.7,89524.4,128388.2,159777.9,M&M
Impairment of Goodwill,,,,,-498.6,-6634.2,-1928.5,,-1221.3,,M&M
Gain (Loss) On Sale Of Invest.,7.6,,,,,,,,,,M&M
Gain (Loss) On Sale Of Assets,,114,35.2,118.4,111.4,846.6,,,,,M&M
Asset Writedown,,,-1324,,-6.9,-4396.6,-12593.6,-1285.8,-10013.1,,M&M
Other Unusual Items,2749,317.5,4471.1,26281.2,2741.8,-881.3,2829.7,5379.1,23448.5,,M&M
EBT Incl. Unusual Items,51014,56720.3,63502.6,103255.2,88708.4,46884.3,53477.3,93617.7,140602.3,159777.9,M&M
Income Tax Expense,17200.2,21175.3,22997.3,23677.3,28539.9,19756.1,16458.1,21087.6,26857.5,37079.7,M&M
Earnings from Cont. Ops.,33813.8,35545,40505.3,79577.9,60168.5,27128.2,37019.2,72530.1,113744.8,122698.2,M&M
Earnings of Discontinued Ops.,,,,,,-30338.2,-21895.3,,,,M&M
Extraord. Item & Account. Change,,,,,,,,,,,M&M
Net Income to Company,33813.8,35545,40505.3,79577.9,60168.5,-3210,15123.9,72530.1,113744.8,122698.2,M&M
Minority Int. in Earnings,-2439.1,-4060.7,-3524.9,-4474,-7013.9,4480.4,3001,-6756.9,-10929.8,-10011.8,M&M
Net Income,31374.7,31484.3,36980.4,75103.9,53154.6,1270.4,18124.9,65773.2,102815,112686.4,M&M
Pref. Dividends and Other Adj.,,823.7,,,,,,,,,M&M
NI to Common Incl Extra Items,31374.7,30660.6,36980.4,75103.9,53154.6,1270.4,18124.9,65773.2,102815,112686.4,M&M
NI to Common Excl. Extra Items,31374.7,30660.6,36980.4,75103.9,53154.6,31608.6,40020.2,65773.2,102815,112686.4,M&M
Per Share Items,,,,,,,,,,,M&M
Basic EPS,26.6,28.4,34.2,69.2,48.9,1.2,16.3,59.2,92.4,101.1,M&M
Basic EPS Excl. Extra Items,26.6,28.4,34.2,69.2,48.9,28.6,36.1,59.2,92.4,101.1,M&M
Weighted Avg. Basic Shares Out.,1181.2,1080.2,1082.4,1085.2,1086.8,1104.5,1109.4,1110.9,1112.6,1114.2,M&M
Diluted EPS,25.3,28.2,34,68.9,48.7,1,16.1,58.8,92,100.7,M&M
Diluted EPS Excl. Extra Items,25.3,28.2,34,68.9,48.7,28.4,35.8,58.8,92,100.7,M&M
Weighted Avg. Diluted Shares Out.,1237.8,1085.6,1088.4,1090.6,1091.6,1109,1114.4,1115.5,1117.3,1119,M&M
Normalized Basic EPS,23.5,28.8,31.6,40.1,43.2,36.8,39.4,44.3,62.3,80.6,M&M
Normalized Diluted EPS,22.4,28.7,31.4,39.9,43,36.7,39.2,44.1,62,80.3,M&M
Dividends per Share,6,6,6.5,7.5,8.5,2.4,8.8,11.6,16.2,21.1,M&M
Payout Ratio %,0.4,0.3,0.2,0.1,0.2,8.9,0.1,0.1,0.1,0.2,M&M
Revenue,492950,575890,680850,798094,860685,756600,703720,883298,1175713,1349217,MARUTI
Other Revenue,6100,,,,,,,,,69365,MARUTI
Total Revenue,499050,575890,680850,798094,860685,756600,703720,883298,1175713,1418582,MARUTI
Cost Of Goods Sold,359903,392643,472843,552120,602256,536291,513400,666876,871378,994802,MARUTI
Gross Profit,139147,183247,208007,245974,258429,220309,190320,216422,304335,423780,MARUTI
Selling General & Admin Exp.,24571,32107,37779,48967,53910,56247,55597,67745,80499,63016,MARUTI
R & D Exp.,,,,,,,,,,,MARUTI
Depreciation & Amort.,25118,28218,26037,27595,30208,35284,30341,27890,28257,52558,MARUTI
Other Operating Expense/(Income),45009,59891,66017,74922,92172,90512,80617,91157,113544,175501,MARUTI
"Other Operating Exp., Total",94698,120216,129833,151484,176290,182043,166555,186792,222300,291075,MARUTI
Operating Income,44449,63031,78174,94490,82139,38266,23765,29630,82035,132705,MARUTI
Interest Expense,-2173,-814,-893,-3458,-759,-1342,-840,-1266,-1870,-1936,MARUTI
Interest and Invest. Income,1630,1625,507,882,1334,1006,760,1776,1914,,MARUTI
Net Interest Exp.,-543,811,-386,-2576,575,-336,-80,510,44,-1936,MARUTI
Income/(Loss) from Affiliates,180,1189,1728,1633,1557,1184,1690,1619,1774,2541,MARUTI
Currency Exchange Gains (Loss),-678,-1008,273,-909,-1784,1422,479,,405,,MARUTI
Other Non-Operating Inc. (Exp.),148,-3,-1,,,,-178,,,40935,MARUTI
EBT Excl. Unusual Items,43556,64020,79788,92638,82487,40536,25676,31759,84258,174245,MARUTI
Impairment of Goodwill,,,,,,,,,,,MARUTI
Gain (Loss) On Sale Of Invest.,6867,13181,22116,19576,24282,30916,28124,15671,19088,,MARUTI
Gain (Loss) On Sale Of Assets,-483,-1354,-632,-545,-531,-424,-590,-458,-115,,MARUTI
Other Unusual Items,,,,,,,,,,,MARUTI
EBT Incl. Unusual Items,49940,75847,101272,111669,106238,71028,53210,46972,103231,174245,MARUTI
Income Tax Expense,11854,20875,26162,32862,29732,14252,9319,8177,21121,39363,MARUTI
Earnings from Cont. Ops.,38086,54972,75110,78807,76506,56776,43891,38795,82110,134882,MARUTI
Earnings of Discontinued Ops.,,,,,,,,,,,MARUTI
Extraord. Item & Account. Change,,,,,,,,,,,MARUTI
Net Income to Company,38086,54972,75110,78807,76506,56776,43891,38795,82110,134882,MARUTI
Minority Int. in Earnings,-12,-11,-11,-7,-15,-16,,,,,MARUTI
Net Income,38074,54961,75099,78800,76491,56760,43891,38795,82110,134882,MARUTI
Pref. Dividends and Other Adj.,,,,,,,,,,,MARUTI
NI to Common Incl Extra Items,38074,54961,75099,78800,76491,56760,43891,38795,82110,134882,MARUTI
NI to Common Excl. Extra Items,38074,54961,75099,78800,76491,56760,43891,38795,82110,134882,MARUTI
Per Share Items,,,,,,,,,,,MARUTI
Basic EPS,126,181.9,248.6,260.9,253.2,187.9,145.3,128.4,271.8,429,MARUTI
Basic EPS Excl. Extra Items,126,181.9,248.6,260.9,253.2,187.9,145.3,128.4,271.8,429,MARUTI
Weighted Avg. Basic Shares Out.,302.1,302.1,302.1,302.1,302.1,302.1,302.1,302.1,302.1,314.4,MARUTI
Diluted EPS,126,181.9,248.6,260.9,253.2,187.9,145.3,128.4,271.8,429,MARUTI
Diluted EPS Excl. Extra Items,126,181.9,248.6,260.9,253.2,187.9,145.3,128.4,271.8,429,MARUTI
Weighted Avg. Diluted Shares Out.,302.1,302.1,302.1,302.1,302.1,302.1,302.1,302.1,302.1,314.4,MARUTI
Normalized Basic EPS,90.1,132.4,165,191.6,170.6,83.8,53.1,65.7,174.3,346.4,MARUTI
Normalized Diluted EPS,90.1,132.4,165,191.6,170.6,83.8,53.1,65.7,174.3,346.4,MARUTI
Dividends per Share,25,35,75,80,80,60,45,60,90,125,MARUTI
Payout Ratio %,0.1,0.1,0.1,0.3,0.3,0.4,0.4,0.4,0.2,0.2,MARUTI
Supplemental Items,,,,,,,,,,,MARUTI
EBITDA,69602,91249,104213,122088,112347,73339,53909,57329,110029,185263,MARUTI
EBITA,45559,64244,79119,95613,83417,39715,25189,31219,84026,132705,MARUTI
EBIT,44449,63031,78174,94490,82139,38266,23765,29630,82035,132705,MARUTI
Revenue,98062.7,81232.7,90763.7,99525.3,112162.3,122952.7,132901.6,146649,167895.3,190210.5,NESTLEIND
Other Revenue,266,376.4,465.2,395.4,558.2,516.4,366.5,443,654.4,1052.5,NESTLEIND
Total Revenue,98328.7,81609.1,91228.9,99920.7,112720.5,123469.1,133268.1,147092,168549.7,191263,NESTLEIND
Cost Of Goods Sold,46109.1,35585,39873.9,44274.2,46827.6,53167.2,57696.1,64469.2,78645.7,84327.1,NESTLEIND
Gross Profit,52219.6,46024.1,51355,55646.5,65892.9,70301.9,75572,82622.8,89904,106935.9,NESTLEIND
Selling General & Admin Exp.,13646.6,15378.6,16032.8,17301,20763.8,22258.5,24755.3,25426.6,24917.1,19048.8,NESTLEIND
R & D Exp.,,,,,,,,,,,NESTLEIND
Depreciation & Amort.,3362.3,3472.6,3524,3409.4,3343.6,3701.5,3703.8,3910.2,4030.1,4289.1,NESTLEIND
Other Operating Expense/(Income),17474.4,14093.1,15891.5,17004.4,18772.7,19721.3,20024.9,23303.3,28023.9,42782.2,NESTLEIND
"Other Operating Exp., Total",34483.3,32944.3,35448.3,37714.8,42880.1,45681.3,48484,52640.1,56971.1,66120.1,NESTLEIND
Operating Income,17736.3,13079.8,15906.7,17931.7,23012.8,24620.6,27088,29982.7,32932.9,40815.8,NESTLEIND
Interest Expense,-142.3,-32.9,-35.1,-6.6,-40.5,-109.8,-265.4,-521.3,-862.3,-1192.9,NESTLEIND
Interest and Invest. Income,871.6,1100.9,1504.8,1767.3,2587.6,2468,1458.5,1201.5,1010,,NESTLEIND
Net Interest Exp.,729.3,1068,1469.7,1760.7,2547.1,2358.2,1193.1,680.2,147.7,-1192.9,NESTLEIND
Currency Exchange Gains (Loss),-98.8,-20.3,-2.3,-2.8,-134.7,-11.5,-62.5,-2.3,-126.3,,NESTLEIND
Other Non-Operating Inc. (Exp.),-613.8,,4.2,1.9,1.6,0.8,,250.1,,1212.1,NESTLEIND
EBT Excl. Unusual Items,17753,14127.5,17378.3,19691.5,25426.8,26968.1,28218.6,30910.7,32954.3,40835,NESTLEIND
Impairment of Goodwill,,,,,,,,,,,NESTLEIND
Gain (Loss) On Sale Of Invest.,1.6,,,,,,,,,,NESTLEIND
Gain (Loss) On Sale Of Assets,,-66,-13.7,-50.2,10.3,15.6,49,39.7,62.6,,NESTLEIND
Asset Writedown,-81.1,-282.2,-118.3,-371.8,-110.8,,,-12.2,-294.3,-287.4,NESTLEIND
Legal Settlements,,-634.6,-1684.7,-876.5,-1036.8,-248.8,-139.7,,-162.9,-107.6,NESTLEIND
Other Unusual Items,70,-5008.4,-107.8,,,,,-2365,,-57.1,NESTLEIND
EBT Incl. Unusual Items,17743.5,8136.3,15453.8,18393,24289.5,26734.9,28127.9,28573.2,32559.7,40382.9,NESTLEIND
Income Tax Expense,5896.6,2503.6,5440.2,6141.1,8220.2,7050.5,7303.6,7389.1,8654.5,10396.2,NESTLEIND
Earnings from Cont. Ops.,11846.9,5632.7,10013.6,12251.9,16069.3,19684.4,20824.3,21184.1,23905.2,29986.7,NESTLEIND
Earnings of Discontinued Ops.,,,,,,,,,,,NESTLEIND
Extraord. Item & Account. Change,,,,,,,,,,,NESTLEIND
Net Income to Company,11846.9,5632.7,10013.6,12251.9,16069.3,19684.4,20824.3,21184.1,23905.2,29986.7,NESTLEIND
Minority Int. in Earnings,,,,,,,,,,,NESTLEIND
Net Income,11846.9,5632.7,10013.6,12251.9,16069.3,19684.4,20824.3,21184.1,23905.2,29986.7,NESTLEIND
Pref. Dividends and Other Adj.,,,,,,,,,,,NESTLEIND
NI to Common Incl Extra Items,11846.9,5632.7,10013.6,12251.9,16069.3,19684.4,20824.3,21184.1,23905.2,29986.7,NESTLEIND
NI to Common Excl. Extra Items,11846.9,5632.7,10013.6,12251.9,16069.3,19684.4,20824.3,21184.1,23905.2,29986.7,NESTLEIND
Per Share Items,,,,,,,,,,,NESTLEIND
Basic EPS,12.3,5.8,10.4,12.7,16.7,20.4,21.6,22,24.8,31.1,NESTLEIND
Basic EPS Excl. Extra Items,12.3,5.8,10.4,12.7,16.7,20.4,21.6,22,24.8,31.1,NESTLEIND
Weighted Avg. Basic Shares Out.,964.2,964.2,964.2,964.2,964.2,964.2,964.2,964.2,964.3,964.2,NESTLEIND
Diluted EPS,12.3,5.8,10.4,12.7,16.7,20.4,21.6,22,24.8,31.1,NESTLEIND
Diluted EPS Excl. Extra Items,12.3,5.8,10.4,12.7,16.7,20.4,21.6,22,24.8,31.1,NESTLEIND
Weighted Avg. Diluted Shares Out.,964.2,964.2,964.2,964.2,964.2,964.2,964.2,964.2,964.3,964.2,NESTLEIND
Normalized Basic EPS,11.5,9.2,11.3,12.8,16.5,17.5,18.3,20,21.4,26.5,NESTLEIND
Normalized Diluted EPS,11.5,9.2,11.3,12.8,16.5,17.5,18.3,20,21.4,26.5,NESTLEIND
Dividends per Share,5.3,4.8,6.3,8.6,11.5,16.2,20,20,22,23.7,NESTLEIND
Payout Ratio %,0.4,0.7,0.6,0.7,0.7,0.6,0.9,0.9,0.8,0.8,NESTLEIND
Supplemental Items,,,,,,,,,,,NESTLEIND
EBITDA,21111.7,16752.6,19443.4,21354.2,26369.5,27771.1,30199.1,33186.7,36115.7,45104.9,NESTLEIND
EBITA,17736.3,13079.8,15906.7,17931.7,23012.8,24620.6,27088,29982.7,32932.9,40815.8,NESTLEIND
Revenue,806119.4,734264.4,820424.9,880833.1,1002865.4,1094640.4,1115311.5,1326692.8,1762069.3,1785008.8,NTPC
Other Revenue,,,,,,,,,,,NTPC
Total Revenue,806119.4,734264.4,820424.9,880833.1,1002865.4,1094640.4,1115311.5,1326692.8,1762069.3,1785008.8,NTPC
Fuel & Purchased Power,535321.4,462366.9,509856.5,533162.9,596839,623715.7,611486.8,753376.6,1059807.3,1039947.5,NTPC
Ops. and Maintenance,,,23639.2,,,,,,,,NTPC
Selling General & Admin Exp.,470.5,903.2,1027.1,727.2,,148.9,95.1,79.7,481,,NTPC
Depreciation & Amort.,55646.1,52195.4,60106.4,74636.8,86690.3,103561.6,123191.7,135564.2,147643,162036.3,NTPC
Exploration/Drilling Costs,296.3,327.7,1105.8,28.3,4.7,1.4,0.9,0.7,0.6,,NTPC
Other Operating Exp.,95416.1,89397,69949.6,112414.9,136904.7,142946.4,160715.3,173503.4,210381.7,234134.2,NTPC
Total Operating Exp.,687150.4,605190.2,665684.6,720970.1,820438.7,870374,895489.8,1062524.6,1418313.6,1436118,NTPC
Operating Income,118969,129074.2,154740.3,159863,182426.7,224266.4,219821.7,264168.2,343755.7,348890.8,NTPC
"Interest Expense, Total",-36271.8,-32741.5,-37107.5,-44132.7,-55755.8,-81681.2,-96332.9,-93705.8,-115318.2,-120482.1,NTPC
Interest and Invest. Income,,,,,,,3325.5,4580.7,5294.5,,NTPC
Net Interest Exp.,-36271.8,-32741.5,-37107.5,-44132.7,-55755.8,-81681.2,-93007.4,-89125.1,-110023.7,-120482.1,NTPC
Income/(Loss) from Affiliates,,1411.6,6247.1,4450.5,6721.7,4054,6838.7,10201.3,7797.7,16356,NTPC
Currency Exchange Gains (Loss),,-302.4,2005.6,-5473.7,590.1,-9621.7,1520.1,6222.2,-7489.2,,NTPC
Other Non-Operating Inc. (Exp.),19102.2,10263,9247.7,15249.6,22174.4,28876.5,40740,16863.9,12278.5,26649.8,NTPC
EBT Excl. Unusual Items,101799.4,107704.9,135133.2,129956.7,156157.1,165894,175913.1,208330.5,246319,271414.5,NTPC
Impairment of Goodwill,,,,,,,,,,,NTPC
Gain (Loss) on Sale of Invest.,,,,,,,-158.6,108.1,,,NTPC
Gain (Loss) On Sale Of Assets,,-1438.7,-829.4,-1106.7,-1745.4,-641.9,-1339.1,-1017.9,-1367.5,,NTPC
Asset Writedown,-419.5,-87,-40.5,-3557.3,-1153,-1477,-2682.9,-1259.5,-430.8,,NTPC
Other Unusual Items,3182.2,,2627.1,36251.7,-40713.2,48720.1,2166.8,13912.7,-5346,10002,NTPC
EBT Incl. Unusual Items,104562.1,106179.2,136890.4,161544.4,112545.5,212495.2,173899.3,220073.9,239174.7,281416.5,NTPC
Income Tax Expense,4638.4,-1628.1,29751,56529.4,-27799.4,93475.4,24205.3,50471,67961.2,68092,NTPC
Earnings from Cont. Ops.,99923.7,107807.3,107139.4,105015,140344.9,119019.8,149694,169602.9,171213.5,213324.5,NTPC
Earnings of Discontinued Ops.,,,,,,,,,,,NTPC
Extraord. Item & Account. Change,,,,,,,,,,,NTPC
Net Income to Company,99923.7,107807.3,107139.4,105015,140344.9,119019.8,149694,169602.9,171213.5,213324.5,NTPC
Minority Int. in Earnings,-60.3,204.2,57,424.5,-2978.1,-3017.5,-3347.7,-2843.9,-2088,-5205.6,NTPC
Net Income,99863.4,108011.5,107196.4,105439.5,137366.8,116002.3,146346.3,166759,169125.5,208118.9,NTPC
Pref. Dividends and Other Adj.,,,,,,,,,,,NTPC
NI to Common Incl Extra Items,99863.4,108011.5,107196.4,105439.5,137366.8,116002.3,146346.3,166759,169125.5,208118.9,NTPC
NI to Common Excl. Extra Items,99863.4,108011.5,107196.4,105439.5,137366.8,116002.3,146346.3,166759,169125.5,208118.9,NTPC
Per Share Items,,,,,,,,,,,NTPC
Basic EPS,10.1,10.9,10.8,10.7,13.9,11.7,14.9,17.2,17.4,21.5,NTPC
Basic EPS Excl. Extra Items,10.1,10.9,10.8,10.7,13.9,11.7,14.9,17.2,17.4,21.5,NTPC
Weighted Avg. Basic Shares Out.,9894.6,9894.6,9894.6,9894.6,9894.6,9894.6,9844.7,9696.7,9696.7,9698,NTPC
Diluted EPS,10.1,10.9,10.8,10.7,13.9,11.7,14.9,17.2,17.4,21.5,NTPC
Diluted EPS Excl. Extra Items,10.1,10.9,10.8,10.7,13.9,11.7,14.9,17.2,17.4,21.5,NTPC
Weighted Avg. Diluted Shares Out.,9894.6,9894.6,9894.6,9894.6,9894.6,9894.6,9844.7,9696.7,9696.7,9698,NTPC
Normalized Basic EPS,6.4,6.8,8.5,8.3,9.6,10.2,10.8,13.1,15.7,17,NTPC
Normalized Diluted EPS,6.4,6.8,8.5,8.3,9.6,10.2,10.8,13.1,15.7,17,NTPC
Dividends per Share,2.1,2.8,4,4.3,5.5,3.2,6.2,7,7.2,7.8,NTPC
Payout Ratio %,1.2,0.3,0.3,0.4,0.4,0.3,0.4,0.4,0.4,0.4,NTPC
Supplemental Items,,,,,,,,,,,NTPC
Utility Revenue,795677.9,725859.5,756038.6,792980.8,918170.2,1014226.5,1037940.8,1236839.4,1656950.1,1785008.8,NTPC
Non-Utility Revenue,31076.1,18980.5,74054.5,103435.1,84695.2,109499.3,117527.5,113103.7,122821.6,26649.8,NTPC
EBITDA,174615.1,181207,214766.4,234423.8,269019.8,324701.7,340303.8,397017.9,487936.5,510927.1,NTPC
EBITA,119159,129205.2,154884.6,160035.7,182608.3,224504.1,220124.6,264498.4,344042.3,348890.8,NTPC
EBIT,118969,129074.2,154740.3,159863,182426.7,224266.4,219821.7,264168.2,343755.7,348890.8,NTPC
Revenue,1612117.3,1240741.5,2825061.2,3227057.7,4216258.5,3967625.7,3038921.9,4913005.1,6323259.7,6430370.1,ONGC
Other Revenue,,,,,,,,,,,ONGC
Total Revenue,1612117.3,1240741.5,2825061.2,3227057.7,4216258.5,3967625.7,3038921.9,4913005.1,6323259.7,6430370.1,ONGC
Cost Of Goods Sold,959051.3,675873.6,2143669.1,2459111.4,3231141.3,3222530.2,2381658.6,3906747.3,5269151.3,3993711.5,ONGC
Gross Profit,653066,564867.9,681392.1,767946.3,985117.2,745095.4,657263.3,1006257.8,1054108.3,2436658.6,ONGC
Selling General & Admin Exp.,,2796.9,8084.7,8347.5,,,,,,73133.6,ONGC
Exploration/Drilling Costs,20834.9,17389.1,19019.3,15968,19607,19015.3,19677.2,19885.3,39794.3,19429.5,ONGC
Provision for Bad Debts,5246.1,3088.3,1523.6,7395.3,6949.2,1539,1829.1,1720.6,2757.4,,ONGC
R & D Exp.,,,,,,,,,,,ONGC
Depreciation & Amort.,174675.8,166680.4,211876.7,234707.2,219330,249484.1,187719.6,260189.9,258632.9,287627.4,ONGC
"Impair. of Oil, Gas & Mineral Prop.",92300.5,25074.3,36749.6,59407.9,81215.6,84226.3,55450.3,59876.5,41947.6,38676.3,ONGC
Other Operating Expense/(Income),106921.8,117921.1,104392.3,114781.4,145235.5,128679.4,96561.3,159284.3,180271.2,1277064.7,ONGC
"Other Operating Exp., Total",399979.1,332950.1,381646.2,440607.4,472337.3,482944.1,361237.5,500956.7,523403.3,1695931.5,ONGC
Operating Income,253086.8,231917.8,299745.9,327338.9,512779.9,262151.3,296025.8,505301.1,530705,740727.1,ONGC
Interest Expense,-9234.5,-21098.9,-25684.6,-28933.5,-29947.4,-28242,-25602.6,-25234.5,-44116.7,-101941.7,ONGC
Interest and Invest. Income,39186,32770.8,37246.7,34348.2,27933.4,36963.5,37496.1,45268.5,49370.1,,ONGC
Net Interest Exp.,29951.5,11671.9,11562.2,5414.7,-2014,8721.4,11893.5,20034,5253.4,-101941.7,ONGC
Income/(Loss) from Affiliates,303.1,8657.3,28099.9,27131.3,34282.6,9331.4,10193.6,14639.3,340.5,23960.3,ONGC
Currency Exchange Gains (Loss),-18077.1,-2992.7,7178,-6065.7,-3811.6,-14441.9,19421.8,-747.2,-5150.2,,ONGC
Other Non-Operating Inc. (Exp.),13139.3,24073.1,45742,32255.1,25520.8,33345.8,12741.3,8637.2,14219.3,122219.3,ONGC
EBT Excl. Unusual Items,278403.6,273327.4,392328,386074.3,566757.7,299108.1,350276.1,547864.3,545368.1,784965,ONGC
Merger & Related Restruct. Charges,,,,,,-1.8,,-300,25,,ONGC
Impairment of Goodwill,,,,,,,,,,,ONGC
Gain (Loss) On Sale Of Invest.,89.2,1068.3,4241.5,3875.8,3961.8,5.5,5389.3,49.4,,,ONGC
Gain (Loss) On Sale Of Assets,-242.4,-88,-220.1,-4860,-279.1,-16299.7,-1172.4,1182.4,-881.8,,ONGC
Asset Writedown,-2032.6,-81112.6,3115.6,5861.2,-25626.4,-94601.6,-54805.4,-9848.1,3924.6,,ONGC
Legal Settlements,,,,,,,,,-28723.3,,ONGC
Other Unusual Items,-2211,7327.4,17710.4,1123.7,3642.5,1413.9,1576.9,1963,-89205.1,-16364.3,ONGC
EBT Incl. Unusual Items,274006.8,200522.5,417175.4,392075,548456.6,189624.4,301264.5,540911,430507.5,768600.7,ONGC
Income Tax Expense,96974.1,69507,125484.2,131395.2,209076.5,75061.9,87662,47970.4,102731.5,197592.3,ONGC
Earnings from Cont. Ops.,177032.6,131015.5,291691.2,260679.9,339380.1,114562.6,213602.5,492940.6,327776,571008.4,ONGC
Earnings of Discontinued Ops.,,,,,,,,,,,ONGC
Extraord. Item & Account. Change,,,,,,,,,,,ONGC
Net Income to Company,177032.6,131015.5,291691.2,260679.9,339380.1,114562.6,213602.5,492940.6,327776,571008.4,ONGC
Minority Int. in Earnings,6302.6,-2263.4,-47498.7,-39620.6,-33919.7,-6526.6,-50558.5,-37719.5,26628.7,-78794.6,ONGC
Net Income,183335.2,128752.1,244192.5,221059.3,305460.4,108036,163044,455221.1,354404.8,492213.8,ONGC
Pref. Dividends and Other Adj.,,,,,,,,,,,ONGC
NI to Common Incl Extra Items,183335.2,128752.1,244192.5,221059.3,305460.4,108036,163044,455221.1,354404.8,492213.8,ONGC
NI to Common Excl. Extra Items,183335.2,128752.1,244192.5,221059.3,305460.4,108036,163044,455221.1,354404.8,492213.8,ONGC
Per Share Items,,,,,,,,,,,ONGC
Basic EPS,14.3,10,19,17.2,23.9,8.6,13,36.2,28.2,39.1,ONGC
Basic EPS Excl. Extra Items,14.3,10,19,17.2,23.9,8.6,13,36.2,28.2,39.1,ONGC
Weighted Avg. Basic Shares Out.,12833.2,12833.2,12833.2,12833.2,12806.9,12580.3,12580.3,12580.3,12580.3,12578.9,ONGC
Diluted EPS,14.3,10,19,17.2,23.8,8.6,13,36.2,28.2,39.1,ONGC
Diluted EPS Excl. Extra Items,14.3,10,19,17.2,23.8,8.6,13,36.2,28.2,39.1,ONGC
Weighted Avg. Diluted Shares Out.,12833.2,12833.2,12833.2,12833.2,12806.9,12580.3,12580.3,12580.3,12580.3,12578.9,ONGC
Normalized Basic EPS,14,13.1,15.4,15.7,25,14.3,13.4,24.2,29.2,32.7,ONGC
Normalized Diluted EPS,14,13.1,15.4,15.7,25,14.3,13.4,24.2,29.2,32.7,ONGC
Dividends per Share,6.3,5.7,6,6.6,7,5,3.6,10.5,11.2,12.2,ONGC
Revenue,176585.1,206520.8,256974.4,299536.2,350591.2,377435.4,396397.9,416216.4,455812.8,458431,POWERGRID
Other Revenue,,,,,,,,,,,POWERGRID
Total Revenue,176585.1,206520.8,256974.4,299536.2,350591.2,377435.4,396397.9,416216.4,455812.8,458431,POWERGRID
Fuel & Purchased Power,,,,,,,,,,,POWERGRID
Ops. and Maintenance,4477.8,4216.9,5685.1,6178.5,8249.4,7610.9,7617.7,8295,8202.5,,POWERGRID
